2023-Mar-23 23:10:13 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Chrome Browser invoked
2023-Mar-23 23:10:14 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Driver maximized and implicit time out set to 20 seconds
2023-Mar-23 23:10:17 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Browser navigated to the url: https://www.amazon.in/
2023-Mar-23 23:10:17 pm [main] INFO  Test.Shopping.Website.pageObjects.landingPageObject.LandingPage - validate website LandingPage is successfull
2023-Mar-23 23:10:18 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Chrome Browser invoked
2023-Mar-23 23:10:18 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Driver maximized and implicit time out set to 20 seconds
2023-Mar-23 23:10:21 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Browser navigated to the url: https://www.amazon.in/
2023-Mar-23 23:10:21 pm [main] INFO  Test.Shopping.Website.pageObjects.landingPageObject.LandingPage - validate website LandingPage is successfull
2023-Mar-23 23:10:21 pm [main] INFO  Test.Shopping.Website.pageObjects.landingPageObject.LandingPage - Hello,Signin And List Option is available on LandingPage  
2023-Mar-23 23:10:22 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Chrome Browser invoked
2023-Mar-23 23:10:23 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Driver maximized and implicit time out set to 20 seconds
2023-Mar-23 23:10:25 pm [main] INFO  Test.Shopping.Website.core.WebDriverFactory - Browser navigated to the url: https://www.amazon.in/
